 frase,clase
 descarta acompañadas tormenta aislada granizo,precipitacion
 cota nieve descendiendo 2700 metros 2000 metros final día,nieve
 Temperaturas ligero moderado descenso especial máximas,temperatura
 Viento componente norte flojo aumentando moderado tarde,viento
 cumbres centrales componente oeste intervalos fuerte,viento
 norte intervalos nubosos,nubes
 resto zonas nuboso despejado,nubes
 Baja probabilidad lluvia débil ocasional norte final,precipitacion
 Temperaturas mínimas cambios máximas ligero descenso acusado medianías norte,temperatura
 Viento nordeste flojo moderado intervalos fuerte sureste tarde,viento
 costas suroeste,otros
 cumbres centrales viento componente norte moderado,viento
 nubes altas compactas segunda mitad día,nubes
 Temperaturas mínimas ascenso máximas descenso,temperatura
 Viento sureste intervalos fuerte cumbres vertientes nordeste incluida área metropolitana vertientes suroeste medianías nordeste rachas llegar costas,viento
 Predominio brisas costas sureste noroeste,viento
 nuboso despejado general intervalos nubes altas tarde,nubes
 Intervalos nubosos zonas bajas primeras últimas horas,nubes
 Temperaturas cambios ligero descenso,temperatura
 Viento componente flojo moderado intenso extremo sur nordeste cumbres centrales viento componente norte,viento
 costas noroeste oeste,otros
 Probabilidad calima ligera primera mitad día,humedad
 Temperaturas cambios,temperatura
 Viento variable flojo tendiendo nordeste flojo tarde,viento
 costa oeste,otros
 general intervalos nubes altas,nubes
 Probabilidad entrada calima leve tarde,humedad
 Temperaturas mínimas ascenso máximas cambios costas descenso cumbres,temperatura
 Viento este sureste flojo moderado intenso vertientes oeste nordeste cumbres centrales predominio brisas costas norte,viento
 cubierto precipitaciones débiles madrugada tendiendo nuboso despejado,precipitacion
 Cota nieve metros,nieve
 Temperaturas ascenso descenso sierra,temperatura
 Heladas débiles,temperatura
 Vientos noroeste,viento
 nuboso intervalos nubes altas descartar brumas nubes bajas,nubes
 Temperaturas ligero ascenso cambios,temperatura
 Vientos suroeste sierra flojos oeste calma valle,viento
 precipitaciones débiles generalizadas tendiendo horas centrales día claros remitir precipitaciones cubrirse nuevo final probables precipitaciones débiles oeste,precipitacion
 Cota nieve 1800 bajando metros,nieve
 Temperaturas cambios ligero descenso,temperatura
 Viento suroeste intervalos fuerte madrugada sureste tendiendo variables flojos,viento
 cubierto precipitaciones débiles valle intensas montaña final mañana abrirán claros harán precipitaciones ocasionales dispersas,precipitacion
 Cota nieve bajando 1200 metros,nieve
 Temperaturas grandes cambios mínimas darán final día,temperatura
 Vientos suroeste oeste rachas sureste oeste valle,viento
 nubes altas,nubes
 Probabilidad brumas nieblas primera mitad día,humedad
 Temperaturas mínimas cambios máximas ascenso cambios ligero descenso resto,temperatura
 Vientos flojos variables,viento
 cubierto precipitaciones débiles generalizadas intensas sierra persistentes,precipitacion
 Tienden disminuir valle tarde,otros
 Cota nieve metros bajando 1500,nieve
 Temperaturas mínimas cambios máximas descenso,temperatura
 Vientos suroeste sierra sureste valle flojos general,viento
 cubierto precipitaciones tendiendo segunda mitad día hacerse ocasionales dispersas valle,precipitacion
 Cota nieve metros bajando 1000 segunda mitad día,nieve
 Temperaturas mínimas ligero ascenso máximas descenso,temperatura
 Heladas débiles tarde noche,temperatura
 flojos principio suroeste sierra sureste valle girando oeste noroeste aumentando rachas fuertes zonas altas,viento
 nubosos abundantes descartan lloviznas dispersas,nubes-precipitacion
 Probabilidad brumas bancos niebla,humedad
 Temperaturas cambios descenso ribera media baja ascenso resto,temperatura
 Vientos suroeste sierra sureste variables valle flojos general,viento
 nubes altas nubes bajas valle dan brumas bancos niebla matinales tendiendo tarde nuboso cubierto precipitaciones débiles,nubes-precipitacion
 Cota nieve bajando metros final día,nieve
 Temperaturas mínimas cambios ligero descenso máximas cambios sierra descenso resto,temperatura
 Vientos suroeste sureste flojos valle,viento
 cubierto descartar precipitaciones débiles dispersas forma nieve partir metros,precipitacion
 Temperaturas mínimas cambios ligero ascenso máximas descenso notable,temperatura
 Heladas débiles sierra,temperatura
 Vientos norte noroeste,viento
 nuboso nubosidad baja,nubes
 Probables brumas nieblas,humedad
 Temperaturas decenso máximas experimentarán ascenso,temperatura
 Heladas débiles,temperatura
 oeste norte flojos,viento
 nuboso intervalos nubes altas valle nubosidad baja probables brumas nieblas persistentes,nubes
 Temperaturas mínimas cambios ligero ascenso máximas descenso valle cambios resto,temperatura
 Vientos suroeste variables,viento
 probables precipitaciones débiles dispersas,precipitacion
 Cota nieve 1000 1200 m subiendo 1400 1600 m,nieve
 Temperaturas mínimas ascenso cambios resto máximas descenso ligero ascenso cambios resto,temperatura
 Heladas débiles,temperatura
 Vientos suroeste oeste noroeste,viento
 nuboso intervalos nubes bajas altas,nubes
 Probables brumas nieblas matinales,humedad
 Temperaturas mínimas cambios ligero descenso máximas ascenso,temperatura
 Vientos flojos variables,viento
 nubes bajas brumas nieblas mañana tendiendo nuboso mediodía,nubes
 Temperaturas ligero descenso,temperatura
 Heladas débiles,temperatura
 Vientos noroeste norte flojos,viento
 precipitaciones débiles tendiendo mañana claros desaparecer precipitaciones tarde,precipitacion
 Cota nieve metros bajando 1200 mañana,nieve
 Temperaturas mínimas ligero ascenso descenso máximas ligero descenso cambios,temperatura
 Heladas débiles sierra,temperatura
 Vientos sur sureste girando suroeste tarde,viento
 nubes altas brumas nieblas nubes bajas valle mantenerse mañana,nubes
 Temperaturas mínimas cambios descenso ligero máximas ligero ascenso,temperatura
 Heladas débiles sierra,temperatura
 Vientos variables tendiendo final componente norte flojos,viento
 nuboso aumentando intervalos nubosos segunda mitad día,nubes
 descartan brumas nieblas matinales,humedad
 Temperaturas cambios,temperatura
 Heladas débiles zonas altas,temperatura
 Viento oeste noroeste flojo intervalos intensidad,viento
 probables precipitaciones débiles entorno,precipitacion
 Temperaturas mínimas ligero ascenso máximas ascenso,temperatura
 Vientos suroeste sierra sureste flojos valle,viento
 cubierto precipitaciones remitirán segunda mitad día,precipitacion
 Cota nieve 1200 metros,nieve
 nuboso madrugada probables precipitaciones débiles litoral norte descartan resto tendiendo cielo despejado mañana,nubes-precipitacion
 Temperaturas mínimas ascenso máximas descenso interior,temperatura
 Viento noroeste moderado,viento
 nuboso intervalos nubes altas,nubes
 Temperaturas ascenso,temperatura
 Viento componente oeste flojo tendiendo variable tarde,viento
 intervalos nubes medias altas,nubes
 descarta precipitación débil,precipitacion
 Temperaturas cambios,temperatura
 componente oeste general moderado,viento
 mañana interior cielo nuboso descartar precipitación débil resto intervalos nubosos,nubes-precipitacion
 Tendiendo nuboso despejado tarde,nubes
 Temperaturas ascenso,temperatura
 oeste flojo moderado,viento
 nuboso intervalos nubes altas,nubes
 Temperaturas cambios importantes probables heladas débiles puntos interior,temperatura
 Viento variable flojo,viento
 cielo nuboso apertura claros partir tarde,nubes
 descartan precipitaciones débiles ocasionales interior,precipitacion
 Temperaturas mínimas cambios máximas ascenso,temperatura
 Viento oeste suroeste flojo intervalos moderado,viento
 nuboso cubierto,nubes
 esperan precipitaciones general débiles partir mañana afectarán mayor parte territorio,precipitacion
 cota nieve bajará tarde 1000 1200 m. mínimas cambios máximas descenso,nieve
 Viento oeste suroeste flojo intervalos moderado aumentando tarde oeste noroeste moderado intervalos fuerte frecuentes áreas montaña,viento
 nuboso despejado,nubes
 Temperaturas mínimas descenso cambios máximas ascenso cambios,temperatura
 helada débil interior,temperatura
 Viento oeste suroeste flojo intervalos moderado litoral,viento
 nubes medias altas tendiendo nuboso tarde,nubes
 Probables brumas estratos bajos bancos niebla matinales vega,humedad
 Temperaturas mínimas cambios significativos máximas descenso,temperatura
 Viento flojo variable calma,viento
 nuboso intervalos nubes altas brumas bancos matinales niebla sur sureste,nubes
 Temperaturas mínimas ligero aumento máximas ligero descenso cambios resto,temperatura
 Vientos flojos variables,viento
 nuboso tendiendo cubierto,nubes
 Lluvias débiles chubascos extender resto comunidad final día,precipitacion
 bancos niebla matinales persistentes,humedad
 Temperaturas cambios,temperatura
 Viento flojo componente sur,viento
 nuboso nubes altas aumentando intervalos nubosos tarde,nubes
 Temperaturas cambios ligero descenso acusado mínimas sureste heladas débiles,temperatura
 Vientos flojos variables,viento
 nubes bajas brumas bancos niebla matinales tenderán persistir mediodía sur romperán nieblas horas área predominarán cielos nubosos intervalos nubosidad alta,nubes
 Temperaturas mínimas aumento cambios resto máximas aumento,temperatura
 Viento flojo variable,viento
 aumentando intervalos nubes altas tarde,nubes
 Temperaturas mínimas ascenso cambios resto máximas descenso zonas bajas cambios resto,temperatura
 Heladas débiles generalizadas,temperatura
 Viento nordeste flojo calma horas centrales,viento
 alta primera mitad día aumentando nuboso cubierto tarde lluvias débiles chubascos intensos frecuentes,nubes
 bancos niebla matinales probables mitad suroeste,humedad
 Cota nieve descendiendo metros,nieve
 Temperaturas cambios significativos,temperatura
 Heladas débiles generalizadas,temperatura
 Vientos flojos noreste girando mañana componente sur flojos,viento
 nubes altas principio día espera nuboso nubes bajas brumas bancos niebla valles,nubes
 Temperaturas mínimas ascenso cambios resto máximas ascenso notable comunidad,temperatura
 Viento flojo variable predominio componente,viento
